,,,,,,,
,S No.,Model,Field type,COLUMN,DESCRIPTION,Meanings,LONG DESCRIPTION
,173,Sustainable Finance,Dimension,Strategic_Pillar,Strategic Pillar,-,-
,174,Sustainable Finance,Dimension,Strategy,Strategic View,-,"This attribute displays Strategy information for FM, directly flowing from Murex/PCDB.  The SF tagging is based on strategy Mapping in MFU, there are defined set of Strategy to be treated as SF transaction, and these strategis are input to MFU.  PMI batch tags transaction based on the defined strategy for each transaction. "
,175,Sustainable Finance,Dimension,SUSTAINABLE_FLAG,Sustainable Flag,SF Flag,"This attribute defines whether the transaction is SF enable or not, Sustainable Flag with ""Y"" & ""N"".  Y represents the transaction is Sustainable transaction.
The Y or N tagging is based on data from TP.  OTP, DTP, OLTP transactions flow in with Sustainable Flag tagged directly.  Based on MFU the tagging happens for rest of the transaction.  The MFU tagging is based on Client, Limit & contract reference, Strategy, Typology & portfolio."
,176,Sustainable Finance,Dimension,TYPOLOGY,Typology,-,"This attribute displays Typology information for FM, directly flowing from Murex/PCDB.  The SF tagging is based on Typology Mapping in MFU, there are defined set of Typology to be treated as SF transaction, and these Typologies are input to MFU.  PMI batch tags transaction based on the defined Typology for each transaction. "
,177,Sustainable Finance,Dimension,Ultimate_Parent_Location,Ultimate Parent Location,Client Parent Location,This displays the Ultimate Parent Location aligned with the 'Ultimate Parent Location' attribute in PMI.
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
